id,S,L,P,H
3259,20,60,41,19
26,24,34,25,7
28,18,38,28,8
947,19,58,45,13
1262,26,60,14,44
1261,13,17,4,13
1219,56,267,168,95
1237,45,212,140,72
1218,53,183,83,97
1235,40,98,60,33
1236,44,165,104,56
1221,30,121,86,29
1251,30,71,22,48
1252,50,273,190,78
1253,42,179,107,69
1250,33,138,68,69
1217,50,261,136,118
1256,44,225,136,85
1257,29,82,52,26
1220,61,328,209,115
1233,32,122,64,53
1234,22,57,28,27
1259,41,169,77,92
1248,52,247,141,101
1260,53,281,172,104
1225,35,118,66,49
1264,32,136,99,22
1265,27,42,17,24
1254,22,43,13,29
1255,24,61,32,27
1242,49,255,177,73
1243,35,102,35,67
1231,22,58,34,24
1232,39,152,63,87
1246,31,148,81,64
1247,41,137,62,74
1227,54,416,325,84
1249,37,161,103,54
1263,31,83,37,44
1238,16,25,10,15
1239,41,169,93,72
1230,19,28,10,16
1245,35,118,74,40
1222,75,553,335,216
1229,32,61,29,31
1244,65,417,295,112
1224,41,153,55,96
1228,65,418,246,166
1258,22,36,2,34
1226,36,83,48,33
1240,24,87,54,32
1223,15,19,10,9
1216,56,220,156,58
1241,72,571,407,159
80,15,31,26,0
81,12,20,16,3
82,10,21,17,3
83,24,42,34,0
84,12,30,19,6
85,29,58,46,4
86,26,189,163,5
87,30,229,205,13
88,46,131,126,5
89,18,85,57,13
930,25,44,36,7
91,44,413,388,10
92,29,203,195,8
93,25,50,29,14
94,21,41,26,9
96,16,61,61,0
97,48,221,176,27
98,14,23,20,3
99,9,15,11,4
100,14,32,30,2
101,9,18,10,0
102,29,65,64,1
103,19,52,46,6
1280,14,83,83,0
1575,81,288,47,205
1574,69,154,33,91
1580,49,108,26,63
1571,72,224,47,141
1577,70,181,37,116
2472,78,1283,1215,36
2474,78,1328,1260,36
2463,50,269,165,104
2464,50,246,123,123
3258,61,203,111,86
2473,78,1328,1262,36
2471,78,1302,1236,36
922,35,96,66,8
1021,22,35,31,2
924,15,26,22,4
1102,23,141,135,6
889,20,60,53,4
890,14,25,25,0
1268,34,156,111,19
893,78,607,510,62
1089,21,50,13,13
1090,21,50,12,14
1091,23,46,14,10
1098,49,139,55,24
1099,52,149,60,27
1100,51,143,56,27
907,14,52,30,12
906,14,51,29,12
1281,15,26,17,6
1282,14,28,19,6
1068,21,67,43,9
1115,26,70,41,29
1065,33,182,145,12
1066,26,103,74,11
1064,38,242,197,15
1069,22,83,60,8
1067,27,132,99,13
1484,29,49,18,27
1101,28,127,110,8
1103,28,218,208,8
1114,26,41,20,6
1112,25,45,12,15
1284,21,89,74,12
1440,15,38,22,7
1441,7,12,6,3
1439,13,26,10,7
1442,8,14,7,3
1443,19,22,22,0
1444,40,185,118,31
1447,32,139,86,21
1446,33,141,88,21
1448,13,34,14,10
1449,20,44,31,0
1452,12,26,16,0
1450,19,55,42,0
1454,31,131,95,36
1456,47,157,69,88
1457,57,178,93,85
1455,17,33,24,9
1458,21,62,49,7
1459,15,43,33,9
1461,46,127,93,0
1462,30,229,183,34
1463,13,34,30,2
1464,15,42,25,9
1467,42,103,52,34
1466,39,106,75,26
1465,37,77,36,22
1468,8,25,20,5
1469,6,7,7,0
1470,24,91,69,0
1471,27,47,30,0
1473,16,50,33,9
1474,56,178,136,38
1475,16,42,16,26
1476,28,69,47,8
1478,8,11,6,2
1480,14,30,23,4
1479,13,27,19,4
1477,5,7,4,0
1481,24,94,69,11
1482,16,31,21,0
1483,27,42,21,17
1485,14,23,13,0
1486,26,45,27,6
1487,27,41,22,7
1488,66,234,188,27
1493,9,13,9,4
1494,47,61,27,26
1495,89,114,33,75
1496,90,149,80,60
1497,36,47,11,34
1498,79,1010,967,0
1501,7,8,0,6
1500,9,8,0,6
1504,12,25,12,12
1505,11,20,13,0
1506,34,79,53,25
1507,26,61,36,0
1508,33,121,88,0
1510,23,26,11,12
1511,17,32,30,2
1512,14,49,26,14
1513,20,41,35,0
1514,43,114,68,36
1515,11,30,16,5
1516,22,48,32,6
1517,32,140,20,105
1518,20,80,46,34
1519,10,29,19,5
1520,22,48,23,25
1521,23,40,21,0
1522,31,80,52,18
1523,24,113,85,7
1524,25,131,53,66
1525,26,67,45,11
1526,45,193,33,146
1527,38,157,17,126
1528,42,183,38,134
1529,37,150,19,119
1530,106,310,167,75
1531,16,57,25,26
1532,35,53,24,21
1533,24,104,62,28
1537,35,380,362,0
1472,29,105,41,50
1569,68,169,36,100
1548,21,40,22,0
1552,13,22,7,4
1561,25,64,45,0
1562,14,30,18,0
1563,39,248,174,23
1564,39,229,156,23
1565,40,241,170,11
1566,23,48,39,5
1567,26,70,27,33
1570,57,142,25,90
1572,69,188,9,149
1573,67,158,33,97
1576,39,103,21,65
1546,27,72,52,0
1578,55,129,10,100
1579,59,151,27,100
1581,45,192,16,92
1582,39,146,28,49
1587,31,100,0,50
1589,20,54,0,30
1590,36,138,47,70
1591,7,8,4,4
1592,15,27,15,9
1593,26,30,13,12
1594,27,116,99,9
1595,27,114,97,9
1596,24,108,58,50
1678,24,72,0,72
5013,714,51496,42144,6075
2470,78,1277,1210,36
